# of Entries,DB Type,Action,Sub-Action Type,Value Type,Time to Complete
500,Mongo,Insert,,String,0.091453667
500,Redis,Insert,,String,0.03149020900000002
500,MySQL,Insert,,String,0.0008704170000000122
500,Mongo,Insert,,Int,0.07391341699999998
500,Redis,Insert,,Int,0.03056854100000006
500,MySQL,Insert,,Int,0.0009713329999998521
500,Mongo,Insert,,Complex,0.07403550000000014
500,Redis,Insert,,Complex,0.03306320800000018
500,MySQL,Insert,,Complex,0.0015370409999999612
500,Mongo,Search,single-search,String,0.05208491699999998
500,Mongo,Search,multi-search,String,0.0008954589999999873
500,Mongo,Search,find all,String,3.6660000000132698e-06
500,Redis,Search,single-search,String,0.020559167000000045
500,Redis,Search,multi-search,String,0.026287583000000003
500,Redis,Search,find all,String,0.015065207999999997
500,MySQL,Search,single-search,String,0.17121062499999995
500,MySQL,Search,multi-search,String,0.183292416
500,MySQL,Search,find all,String,0.0007629169999999741
500,Mongo,Search,single-search,Int,0.08313983300000016
500,Mongo,Search,multi-search,Int,0.0008324589999999521
500,Mongo,Search,find all,Int,3.6249999999515836e-06
500,Redis,Search,single-search,Int,0.02095404200000006
500,Redis,Search,multi-search,Int,0.02578379200000014
500,Redis,Search,find all,Int,0.015041207999999973
500,MySQL,Search,single-search,Int,0.0010820830000000115
500,MySQL,Search,multi-search,Int,0.0008117080000000776
500,MySQL,Search,find all,Int,0.0007628749999999407
500,Mongo,Search,single-search,Complex,0.08057987499999997
500,Mongo,Search,multi-search,Complex,0.0008363750000000003
500,Mongo,Search,find all,Complex,3.4170000000610656e-06
500,Redis,Search,single-search,Complex,0.020967499999999806
500,Redis,Search,multi-search,Complex,0.026378500000000082
500,Redis,Search,find all,Complex,0.015270667000000016
500,MySQL,Search,single-search,Complex,0.0011406250000001172
500,MySQL,Search,multi-search,Complex,0.0007619590000000898
500,MySQL,Search,find all,Complex,0.0006150000000000322
500,Mongo,Update,,String,0.22792866700000003
500,Redis,Update,,String,0.03860504099999995
500,MySQL,Update,,String,0.0013724999999999987
500,Mongo,Update,,Int,0.249111541
500,Redis,Update,,Int,0.0395675419999999
500,MySQL,Update,,Int,0.001335916000000159
500,Mongo,Update,,Complex,0.23733454200000015
500,Redis,Update,,Complex,0.04172120800000023
500,MySQL,Update,,Complex,0.0015767079999999822
500,Mongo,Delete,,String,0.020054792000000043
500,Redis,Delete,,String,0.004252749999999916
500,MySQL,Delete,,String,0.0007502499999999523
500,Mongo,Delete,,Int,0.04235566700000004
500,Redis,Delete,,Int,0.008729583999999901
500,MySQL,Delete,,Int,0.0009184169999998382
500,Mongo,Delete,,Complex,0.047489375000000056
500,Redis,Delete,,Complex,0.009059667000000271
500,MySQL,Delete,,Complex,0.0008551660000000183
1000,Mongo,Insert,,String,0.13880908299999994
1000,Redis,Insert,,String,0.04805437500000043
1000,MySQL,Insert,,String,0.0014402079999999984
1000,Mongo,Insert,,Int,0.13664387499999986
1000,Redis,Insert,,Int,0.04719062499999982
1000,MySQL,Insert,,Int,0.0013962909999998274
1000,Mongo,Insert,,Complex,0.14973383400000007
1000,Redis,Insert,,Complex,0.0517783749999996
1000,MySQL,Insert,,Complex,0.0016591660000004893
1000,Mongo,Search,single-search,String,0.2227509160000003
1000,Mongo,Search,multi-search,String,0.002476375000000086
1000,Mongo,Search,find all,String,3.416999999839021e-06
1000,Redis,Search,single-search,String,0.03800574999999995
1000,Redis,Search,multi-search,String,0.06641750000000002
1000,Redis,Search,find all,String,0.029841291999999964
1000,MySQL,Search,single-search,String,0.5475484580000001
1000,MySQL,Search,multi-search,String,0.5217114170000001
1000,MySQL,Search,find all,String,0.0007473749999999946
1000,Mongo,Search,single-search,Int,0.3924499999999993
1000,Mongo,Search,multi-search,Int,0.009258250000000245
1000,Mongo,Search,find all,Int,3.958999999831292e-06
1000,Redis,Search,single-search,Int,0.05043799999999976
1000,Redis,Search,multi-search,Int,0.07186891599999967
1000,Redis,Search,find all,Int,0.03033829199999971
1000,MySQL,Search,single-search,Int,0.0013834169999995538
1000,MySQL,Search,multi-search,Int,0.0011149579999996106
1000,MySQL,Search,find all,Int,0.000771417000000163
1000,Mongo,Search,single-search,Complex,0.4014164579999999
1000,Mongo,Search,multi-search,Complex,0.009842125000000479
1000,Mongo,Search,find all,Complex,1.3625000001127319e-05
1000,Redis,Search,single-search,Complex,0.05022370899999906
1000,Redis,Search,multi-search,Complex,0.07156891600000037
1000,Redis,Search,find all,Complex,0.03043841700000094
1000,MySQL,Search,single-search,Complex,0.0012914580000007447
1000,MySQL,Search,multi-search,Complex,0.001057792000001001
1000,MySQL,Search,find all,Complex,0.0007470000000004973
1000,Mongo,Update,,String,0.8267000000000002
1000,Redis,Update,,String,0.08882745799999991
1000,MySQL,Update,,String,0.0015365840000001185
1000,Mongo,Update,,Int,1.847708291
1000,Redis,Update,,Int,0.08807425000000002
1000,MySQL,Update,,Int,0.0016039579999995723
1000,Mongo,Update,,Complex,0.9719270409999989
1000,Redis,Update,,Complex,0.0976373749999997
1000,MySQL,Update,,Complex,0.0021352920000001774
1000,Mongo,Delete,,String,0.054257917000000155
1000,Redis,Delete,,String,0.0076687079999997465
1000,MySQL,Delete,,String,0.0010668750000002447
1000,Mongo,Delete,,Int,0.1703263340000003
1000,Redis,Delete,,Int,0.023906290999999413
1000,MySQL,Delete,,Int,0.0011217500000002545
1000,Mongo,Delete,,Complex,0.18577624999999998
1000,Redis,Delete,,Complex,0.023572249999999073
1000,MySQL,Delete,,Complex,0.001163417000000777
1500,Mongo,Insert,,String,0.20687233299999974
1500,Redis,Insert,,String,0.06041854100000066
1500,MySQL,Insert,,String,0.0014732909999999322
1500,Mongo,Insert,,Int,0.20444858299999957
1500,Redis,Insert,,Int,0.061828625000000415
1500,MySQL,Insert,,Int,0.0015078329999980156
1500,Mongo,Insert,,Complex,0.21939670800000144
1500,Redis,Insert,,Complex,0.06912908400000006
1500,MySQL,Insert,,Complex,0.002246791000001025
1500,Mongo,Search,single-search,String,0.6601387499999998
1500,Mongo,Search,multi-search,String,0.01723320900000047
1500,Mongo,Search,find all,String,1.079100000112021e-05
1500,Redis,Search,single-search,String,0.07659395800000013
1500,Redis,Search,multi-search,String,0.1316485829999987
1500,Redis,Search,find all,String,0.04487741600000028
1500,MySQL,Search,single-search,String,1.0841153750000014
1500,MySQL,Search,multi-search,String,1.1142890420000011
1500,MySQL,Search,find all,String,0.0006974170000013657
1500,Mongo,Search,single-search,Int,3.1592520829999984
1500,Mongo,Search,multi-search,Int,0.01789270799999798
1500,Mongo,Search,find all,Int,1.5832999999076947e-05
1500,Redis,Search,single-search,Int,0.078695917000001
1500,Redis,Search,multi-search,Int,0.13037554199999946
1500,Redis,Search,find all,Int,0.0459662079999994
1500,MySQL,Search,single-search,Int,0.0014132499999988113
1500,MySQL,Search,multi-search,Int,0.0012764169999996966
1500,MySQL,Search,find all,Int,0.0006412910000008765
1500,Mongo,Search,single-search,Complex,2.5666972500000007
1500,Mongo,Search,multi-search,Complex,0.018388250000000994
1500,Mongo,Search,find all,Complex,1.079200000120295e-05
1500,Redis,Search,single-search,Complex,0.07753216699999754
1500,Redis,Search,multi-search,Complex,0.13335612499999883
1500,Redis,Search,find all,Complex,0.045775584000001146
1500,MySQL,Search,single-search,Complex,0.0014618340000005503
1500,MySQL,Search,multi-search,Complex,0.0012450000000008288
1500,MySQL,Search,find all,Complex,0.0007374999999996135
1500,Mongo,Update,,String,2.449776667
1500,Redis,Update,,String,0.10457408300000104
1500,MySQL,Update,,String,0.0016186660000006015
1500,Mongo,Update,,Int,5.267644708999999
1500,Redis,Update,,Int,0.11130950000000084
1500,MySQL,Update,,Int,0.001634249999998616
1500,Mongo,Update,,Complex,4.169152166
1500,Redis,Update,,Complex,0.12616000000000582
1500,MySQL,Update,,Complex,0.002409625000005633
1500,Mongo,Delete,,String,0.07480787499999941
1500,Redis,Delete,,String,0.011101625000000226
1500,MySQL,Delete,,String,0.0010543749999989416
1500,Mongo,Delete,,Int,0.3254086249999979
1500,Redis,Delete,,Int,0.036155582999999325
1500,MySQL,Delete,,Int,0.0015942920000000527
1500,Mongo,Delete,,Complex,0.3948192920000011
1500,Redis,Delete,,Complex,0.03920529199999834
1500,MySQL,Delete,,Complex,0.0016250840000040512
2000,Mongo,Insert,,String,0.3158055000000033
2000,Redis,Insert,,String,0.07768304199999676
2000,MySQL,Insert,,String,0.0016286250000021596
2000,Mongo,Insert,,Int,0.26941829199999745
2000,Redis,Insert,,Int,0.07550683299999861
2000,MySQL,Insert,,Int,0.0016008750000011673
2000,Mongo,Insert,,Complex,0.30243620800000315
2000,Redis,Insert,,Complex,0.08597745800000212
2000,MySQL,Insert,,Complex,0.002566749999999729
2000,Mongo,Search,single-search,String,3.1374421249999997
2000,Mongo,Search,multi-search,String,0.02674229199999445
2000,Mongo,Search,find all,String,8.665999999379892e-06
2000,Redis,Search,single-search,String,0.1012897499999994
2000,Redis,Search,multi-search,String,0.21763183300000577
2000,Redis,Search,find all,String,0.06443054200000375
2000,MySQL,Search,single-search,String,1.8059539169999965
2000,MySQL,Search,multi-search,String,1.8306523749999997
2000,MySQL,Search,find all,String,0.000802457999995454
2000,Mongo,Search,single-search,Int,7.409217250000005
2000,Mongo,Search,multi-search,Int,0.02608962499999734
2000,Mongo,Search,find all,Int,8.917000002384157e-06
2000,Redis,Search,single-search,Int,0.10482362500000164
2000,Redis,Search,multi-search,Int,0.2199687499999996
2000,Redis,Search,find all,Int,0.059827165999998044
2000,MySQL,Search,single-search,Int,0.0015819589999992445
2000,MySQL,Search,multi-search,Int,0.0017110829999964494
2000,MySQL,Search,find all,Int,0.0007429999999999382
2000,Mongo,Search,single-search,Complex,7.298104707999997
2000,Mongo,Search,multi-search,Complex,0.026146917000005487
2000,Mongo,Search,find all,Complex,1.1583000002701738e-05
2000,Redis,Search,single-search,Complex,0.10289191700000799
2000,Redis,Search,multi-search,Complex,0.2215481670000088
2000,Redis,Search,find all,Complex,0.060462499999999864
2000,MySQL,Search,single-search,Complex,0.0015745420000001786
2000,MySQL,Search,multi-search,Complex,0.001608166999986338
2000,MySQL,Search,find all,Complex,0.0007882919999957494
2000,Mongo,Update,,String,6.714925917000002
2000,Redis,Update,,String,0.13487295899999907
2000,MySQL,Update,,String,0.0017017919999986475
2000,Mongo,Update,,Int,8.444073707999998
2000,Redis,Update,,Int,0.13578091600000164
2000,MySQL,Update,,Int,0.0018287500000013779
2000,Mongo,Update,,Complex,6.690200500000003
2000,Redis,Update,,Complex,0.15134554100001196
2000,MySQL,Update,,Complex,0.0028310830000037868
2000,Mongo,Delete,,String,0.09642158300000148
2000,Redis,Delete,,String,0.01493437500000283
2000,MySQL,Delete,,String,0.001265041999999994
2000,Mongo,Delete,,Int,0.6556966670000008
2000,Redis,Delete,,Int,0.04658483299999716
2000,MySQL,Delete,,Int,0.001970249999999396
2000,Mongo,Delete,,Complex,0.7874678749999902
2000,Redis,Delete,,Complex,0.047125957999995194
2000,MySQL,Delete,,Complex,0.002054541000006793
2500,Mongo,Insert,,String,0.3455659580000088
2500,Redis,Insert,,String,0.09113962499999673
2500,MySQL,Insert,,String,0.0016866659999976719
2500,Mongo,Insert,,Int,0.3373514170000078
2500,Redis,Insert,,Int,0.09342404100000579
2500,MySQL,Insert,,Int,0.001668374999994171
2500,Mongo,Insert,,Complex,0.37527716700000724
2500,Redis,Insert,,Complex,0.10624783299999763
2500,MySQL,Insert,,Complex,0.0029069580000111728
2500,Mongo,Search,single-search,String,5.977905916000012
2500,Mongo,Search,multi-search,String,0.03643887500000176
2500,Mongo,Search,find all,String,7.541999991644843e-06
2500,Redis,Search,single-search,String,0.13596016700000746
2500,Redis,Search,multi-search,String,0.3269165420000064
2500,Redis,Search,find all,String,0.07434187500000178
2500,MySQL,Search,single-search,String,2.7091661669999922
2500,MySQL,Search,multi-search,String,2.709621124999998
2500,MySQL,Search,find all,String,0.0007427500000005693
2500,Mongo,Search,single-search,Int,11.839351124999993
2500,Mongo,Search,multi-search,Int,0.034638458000003425
2500,Mongo,Search,find all,Int,7.417000006171293e-06
2500,Redis,Search,single-search,Int,0.135345583000003
2500,Redis,Search,multi-search,Int,0.3270533339999986
2500,Redis,Search,find all,Int,0.07455754100000433
2500,MySQL,Search,single-search,Int,0.001782916999999884
2500,MySQL,Search,multi-search,Int,0.0020447089999890977
2500,MySQL,Search,find all,Int,0.0007412500000043565
2500,Mongo,Search,single-search,Complex,12.064155500000027
2500,Mongo,Search,multi-search,Complex,0.035824500000018134
2500,Mongo,Search,find all,Complex,7.749999980433131e-06
2500,Redis,Search,single-search,Complex,0.13670350000001008
2500,Redis,Search,multi-search,Complex,0.33237970900000846
2500,Redis,Search,find all,Complex,0.07616466700000046
2500,MySQL,Search,single-search,Complex,0.0018710000000226046
2500,MySQL,Search,multi-search,Complex,0.0019252499999993233
2500,MySQL,Search,find all,Complex,0.000569749999982605
2500,Mongo,Update,,String,9.015900541999997
